,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,B_1,B_10,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9
 g__1-68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5886380605906556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4043957587248087e-05,0.0,5.765931990832168e-05,0.0
 g__AF12,1.7125926940795672e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.531828363543934e-05,5.623269087484009e-05,0.0,0.0,0.0,0.0,5.342665188529298e-05,1.3990122973180934e-05,0.0,0.0,0.00014359563469270534,0.0003603707494270105,1.599334676774462e-05
 g__Abiotrophia,0.0,0.0,1.650437365901964e-05,0.0,5.04261005496445e-05,6.39785032229171e-05,3.3848965914091324e-05,0.0,0.0,0.0,1.408014418067641e-05,0.0,1.7447744006699935e-05,9.34966407992627e-05,0.0,0.0,4.213187276174426e-05,0.0,0.0,1.599334676774462e-05
 g__Acidaminococcus,0.005976948502337689,0.00015820054075821205,0.00021455685756725532,0.0001430615164520744,0.00011766090128250382,0.0003678763935317733,0.00037233862505500455,0.000142977425453159,0.00014058172718710022,0.0002711251694532309,0.0004224043254202923,0.00023673495154824658,0.0001570296960602994,0.00022706327051249517,8.39407378390856e-05,0.00015700312436217482,0.006544484235657609,0.00019744399770246985,0.00017297795972496505,9.59600806064677e-05
 g__Actinomyces,0.00013700741552636538,0.000719093367082782,0.0005116355834296089,0.00024320457796852646,0.00013446960146571866,0.00015994625805729274,0.0016247503638763836,6.354552242362623e-05,0.00021087259078065034,0.000195812622382889,0.00023936245107149896,6.312932041286575e-05,0.00012213420804689954,0.00032055991131175787,8.39407378390856e-05,6.280124974486992e-05,0.00018257144863422512,0.0001615450890292935,5.765931990832168e-05,3.198669353548924e-05
 g__Adlercreutzia,0.00015413334246716103,0.00028763734683311283,0.0003796005941574517,0.0016452074391988555,0.0005378784058628747,0.0006237904064234417,8.462241478522832e-05,0.000142977425453159,0.00018275624534323028,0.0003313752071095044,0.0011545718228154656,0.00033142893216754523,0.0006804620162612974,0.00029384658536911137,0.002770044348689825,0.0004867096855227419,0.00023874727898321748,0.0003948879954049397,0.00024505210961036717,0.00036784697565812624
 g__Aggregatibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8116345437420045e-05,1.5062509414068383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.441482997708042e-05,0.0
 g__Akkermansia,0.00010275556164477402,0.000517747224299603,4.951312097705892e-05,0.00709585121602289,0.0056477232615601836,0.00015994625805729274,0.00015232034661341097,3.177276121181311e-05,0.0002530471089367804,0.00010543756589847869,0.00035200360451691025,0.017297433793125216,0.00038385036814739856,0.001041819711763213,0.0649421508415059,0.00036110718603300204,0.0004072747700301945,0.0003948879954049397,0.00377668545399507,0.0004478137094968493
 g__Alistipes,1.7125926940795672e-05,4.314560202496692e-05,4.951312097705892e-05,0.00012875536480686696,0.00011766090128250382,4.7983877417187827e-05,5.0773448871136986e-05,0.00012709104484725245,7.029086359355011e-05,0.0034794396746497965,0.0,3.1564660206432876e-05,3.489548801339987e-05,0.0,4.19703689195428e-05,1.570031243621748e-05,8.426374552348851e-05,0.00012564618035611718,7.20741498854021e-05,0.00022390685474842466
 g__Allobaculum,0.0011131852511517186,5.752746936662256e-05,0.002673708532761182,0.0008011444921316165,0.0023868354260165063,0.003934677948209402,0.00020309379548454795,1.5886380605906556e-05,0.00011246538174968018,1.5062509414068383e-05,0.0011264115344541128,3.1564660206432876e-05,0.0028614300170987893,0.000707903137480132,0.0022943801676016734,0.002747554676338059,0.0003932308124429464,1.7949454336588168e-05,0.00015856312974788463,0.0
 g__Anaerofilum,0.0,7.190933670827821e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.570031243621748e-05,0.0,0.0,4.324448993124126e-05,0.0
 g__Anaerofustis,0.0,1.438186734165564e-05,0.0,1.4306151645207439e-05,3.3617400366429666e-05,0.0,1.6924482957045662e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3356662971323245e-05,2.798024594636187e-05,0.0,2.8087915174496174e-05,0.0,0.0,1.599334676774462e-05
 g__Anaeroplasma,0.0,0.0,0.0,7.15307582260372e-05,1.6808700183214833e-05,0.0,0.0,0.0,2.8116345437420045e-05,3.0125018828136767e-05,0.0,0.0,0.0,1.3356662971323245e-05,0.0,0.0,0.0,0.0,4.324448993124126e-05,0.0
 g__Anaerostipes,0.001096059324210923,0.001438186734165564,0.0022776035649447104,0.0011158798283261802,0.011177785621837863,0.0011196238064010492,0.00020309379548454795,0.0006036824630244491,0.001335526408277452,0.0021388763367977104,0.004153642533299541,0.006391843691802658,0.0035418920333600864,0.001255526319304385,0.003007876439233901,0.003014459987753756,0.000491538515553683,0.003751435956346927,0.0038487596038804723,0.004446150401433004
 g__Anaerotruncus,6.850370776318269e-05,0.0002444917448081459,9.902624195411784e-05,0.00011444921316165951,1.6808700183214833e-05,9.596775483437565e-05,0.00011847138069931964,0.000285954850906318,0.0003373961452490405,0.00045187528242205153,7.040072090338205e-05,0.0004103405826836274,8.723872003349967e-05,6.678331485661622e-05,0.00011192098378544747,1.570031243621748e-05,0.0001966154062214732,0.0005743825387708214,0.000547763539129056,0.0005917538304065509
 g__Arthrobacter,1.7125926940795672e-05,2.876373468331128e-05,1.650437365901964e-05,2.8612303290414877e-05,5.04261005496445e-05,0.0,1.6924482957045662e-05,0.0006990007466598885,1.4058172718710023e-05,1.5062509414068383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3848363009764504e-05,0.0,0.0
 g__Atopobium,0.0,0.0,9.902624195411784e-05,1.4306151645207439e-05,0.0,7.997312902864637e-05,3.3848965914091324e-05,1.5886380605906556e-05,1.4058172718710023e-05,4.518752824220515e-05,1.408014418067641e-05,0.0,1.7447744006699935e-05,4.0069988913969734e-05,1.3990122973180934e-05,3.140062487243496e-05,0.0,3.5898908673176336e-05,1.441482997708042e-05,1.599334676774462e-05
 g__Bacteroides,0.1266633556541248,0.014137375596847494,0.11927710843373494,0.020200286123032905,0.08747247575344999,0.06839301994529838,0.019412381951731374,0.08802643493732823,0.008687950740162794,0.1943666214791384,0.1262988933006674,0.05023515671853793,0.09203684963534214,0.05265196543295623,0.06905524699562109,0.19727442576107265,0.10666385787514922,0.2981942848937392,0.01859513067043374,0.10157374532194607
 g__Barnesiella,1.7125926940795672e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009011292275632902,1.5782330103216438e-05,8.723872003349967e-05,5.342665188529298e-05,2.798024594636187e-05,1.570031243621748e-05,0.0,5.3848363009764504e-05,1.441482997708042e-05,1.599334676774462e-05
 g__Bifidobacterium,0.0035108150228631125,0.0043001783351550365,0.011239478461792376,0.003748211731044349,0.0018489570201536316,0.0013435485676812592,0.012388721524557425,0.002287638807250544,0.030745223735818818,0.034719084199427624,0.08365013657739856,0.0018307502919731068,0.03341242977283037,0.051022452550454796,0.014745589613732705,0.0023550468654326222,0.011853100203637385,0.0021718839747271682,0.0034018998745909794,0.0025429421360713945
 g__Bilophila,0.0004452741004606874,0.00020134614278317898,0.0017164548605380426,0.0002575107296137339,0.00011766090128250382,0.00039986564514323187,0.0005246589716684155,0.0006354552242362622,0.00014058172718710022,0.00022593764121102577,0.00054912562304638,0.0009785044663994191,0.0006106710402344977,0.0008681830931360109,0.00041970368919542805,0.0014287284316957906,0.0012358682676778317,0.0008077254451464676,0.00047568938924365386,0.0006397338707097847
 g__Blautia,0.03303591306879485,0.09418684922050279,0.0801782472355174,0.14064377682403434,0.08086665658144655,0.030373794405079892,0.23772128761466338,0.05601537801642652,0.1523343595799418,0.10384093990058743,0.0786657655374391,0.09183737887061645,0.08305126147189168,0.19300377993562087,0.18493543558247877,0.03168323049628688,0.09350466961589776,0.05790493968983343,0.09234140083317717,0.08817132073057608
 g__Brachybacterium,0.0,0.0,0.0,0.0,0.0,3.198925161145855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.570031243621748e-05,0.0,0.0,0.0,0.0
 g__Bulleidia,1.7125926940795672e-05,5.752746936662256e-05,8.252186829509821e-05,0.00010014306151645207,6.723480073285933e-05,4.7983877417187827e-05,3.3848965914091324e-05,3.177276121181311e-05,4.217451815613006e-05,0.00013556258472661545,2.816028836135282e-05,9.469398061929864e-05,5.23432320200998e-05,0.0001202099667419092,4.19703689195428e-05,3.140062487243496e-05,4.213187276174426e-05,8.974727168294084e-05,0.00010090380983956294,3.198669353548924e-05
 g__Butyricicoccus,0.004692503981778014,0.011865040556865903,0.01780821917808219,0.004034334763948498,0.007832854285378112,0.005102285632027638,0.01771993365602681,0.005973279107820865,0.007155609913823401,0.002952251845157403,0.0063642251696657375,0.009374704081310565,0.01057333286806016,0.0019901427827271633,0.00239231102841394,0.014161681817468168,0.004676637876553613,0.0020821367030442275,0.004180300693353322,0.0041582701596136005
 g__Butyricimonas,3.4251853881591344e-05,0.00030201921417476847,0.0001980524839082357,5.7224606580829754e-05,0.0008908611097103861,0.00015994625805729274,0.00015232034661341097,0.00030184123151222455,0.0001968144180619403,0.002786564241602651,0.00029568302779420464,0.00034721126227076163,0.00027916390410719896,0.0001736366186272022,0.0006575357797395039,0.00021980437410704473,0.0008988132855838776,0.009459362435381964,0.0001297334697937238,0.000335860282122637
 g__CF231,0.0004452741004606874,0.00040269228556635795,4.951312097705892e-05,1.4306151645207439e-05,5.04261005496445e-05,7.997312902864637e-05,0.0,0.00019063656727087868,0.00021087259078065034,0.0004368127730079831,0.00046464475796232155,0.0005681638837157918,0.00017447744006699934,0.0,0.00013990122973180934,4.710093730865244e-05,0.0,0.00021539345203905802,0.000273881769564528,0.0005757604836388062
 g__Cardiobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.816028836135282e-05,1.5782330103216438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 g__Catenibacterium,0.0010618074703293316,0.10803658747051717,0.0013698630136986301,0.015350500715307582,0.0011598003126418233,0.0020473121031333473,0.0010154689774227398,0.000714887127265795,0.0008716067085600213,0.01275794547371592,0.0,0.0021779615542438686,0.0,0.00040069988913969733,0.0,0.0,0.0,0.0,0.0,0.0004318203627291047
 g__Cetobacterium,0.0,0.0002588736121498015,4.951312097705892e-05,0.0012303290414878397,1.6808700183214833e-05,4.7983877417187827e-05,1.6924482957045662e-05,1.5886380605906556e-05,1.4058172718710023e-05,0.0,0.0,3.1564660206432876e-05,0.0,0.00022706327051249517,0.0,0.0,1.4043957587248087e-05,0.0,4.324448993124126e-05,0.0
 g__Christensenella,3.4251853881591344e-05,1.438186734165564e-05,0.0,0.0,6.723480073285933e-05,0.0,0.0,0.0,0.0,4.518752824220515e-05,2.816028836135282e-05,4.734699030964932e-05,0.00013958195205359948,1.3356662971323245e-05,0.0004057135662222471,0.0,2.8087915174496174e-05,5.3848363009764504e-05,5.765931990832168e-05,0.00012794677414195696
 g__Citrobacter,0.014745423096025072,0.000877293907840994,0.0012873411454035319,0.00413447782546495,0.00201704402198578,0.0024151884966651205,0.00460345936431642,0.15015806948702878,0.0022774239804310235,0.0034342521464075914,0.001168651966996142,4.734699030964932e-05,0.00043619360016749836,0.0007880431153080715,0.00022384196757089495,0.0003297065611605671,0.0010392528614563583,0.010123492245835726,0.00046127455926657344,0.01423407862329271
 g__Cloacibacillus,1.7125926940795672e-05,0.0,1.650437365901964e-05,0.0,1.6808700183214833e-05,0.0,0.0,1.5886380605906556e-05,0.0,0.0,2.816028836135282e-05,1.5782330103216438e-05,3.489548801339987e-05,0.0,1.3990122973180934e-05,0.0,1.4043957587248087e-05,0.0,0.0,0.0
 g__Clostridium,0.003527940949803908,0.00471725248806305,0.0056279914177256975,0.013619456366237482,0.007916897786294185,0.005166264135250556,0.006685170768033036,0.011740035267764945,0.0019822023533381133,0.0039765024853140535,0.007349835262313086,0.005223951264164642,0.009648602435705063,0.007506444589883664,0.008282152800123113,0.012701552760899942,0.0058703742714697,0.005654078116025273,0.004223545183284563,0.0028308223778907974
 g__Collinsella,0.0009248000548029662,0.014913996433296899,0.001188314903449414,0.021201716738197426,0.0011598003126418233,0.08747460853153341,0.03897708425007616,0.0012073649260488982,0.0016869807262452027,0.005181503238439524,0.0007321674973951734,0.005681638837157918,0.001046864640401996,0.06078617318249208,0.0007274863946054086,0.002417848115177492,0.007148374411909276,0.0008256748994830557,0.001989246536837098,0.0009276141125291879
 g__Coprobacillus,5.137778082238701e-05,8.629120404993384e-05,0.0009242449249050998,0.00011444921316165951,8.404350091607416e-05,0.0001279570064458342,1.6924482957045662e-05,3.177276121181311e-05,0.0,0.00034643771652357285,1.408014418067641e-05,0.00039455825258041094,0.000261716160100499,4.0069988913969734e-05,4.19703689195428e-05,1.570031243621748e-05,4.213187276174426e-05,0.0002692418150488225,0.0,0.0003838403224258708
 g__Coprococcus,0.014711171242143481,0.055873554622332164,0.017181052979039445,0.026552217453505007,0.033684635167162524,0.013867340573567281,0.06326371729343669,0.012518467917454366,0.014789197700082943,0.032760957975598734,0.0493649854974515,0.031138537293646035,0.028195554314827093,0.04296838477874688,0.0705102197848319,0.03983169265068375,0.02047609016220771,0.01712377943710511,0.03050178023150217,0.02066340402392605
 g__Corynebacterium,0.0,0.0,1.650437365901964e-05,1.4306151645207439e-05,0.0,0.0,5.0773448871136986e-05,1.5886380605906556e-05,1.4058172718710023e-05,1.5062509414068383e-05,1.408014418067641e-05,1.5782330103216438e-05,3.489548801339987e-05,0.0003873432261683741,5.596049189272374e-05,0.0,2.8087915174496174e-05,3.5898908673176336e-05,2.882965995416084e-05,0.0
 g__Dehalobacterium,5.137778082238701e-05,5.752746936662256e-05,4.951312097705892e-05,4.291845493562232e-05,3.3617400366429666e-05,4.7983877417187827e-05,0.0,0.00012709104484725245,4.217451815613006e-05,7.531254707034192e-05,2.816028836135282e-05,0.00022095262144503016,0.0,6.678331485661622e-05,0.0,4.710093730865244e-05,0.0,0.00014359563469270534,0.0002162224496562063,7.996673383872309e-05
 g__Desulfovibrio,0.0008905482009213748,0.00056089282632457,0.0004951312097705892,0.001072961373390558,0.0005210697056796598,0.0003678763935317733,5.0773448871136986e-05,0.0006036824630244491,0.0024320638803368337,0.0006476879048049405,0.0017318577342231984,0.001010069126605852,0.0011515511044421956,0.0012688829822757083,0.0007694567635249513,0.0005181103103951769,0.0005196264307281792,0.0012385123492245835,0.008447090366569127,0.002271055241019736
 g__Dialister,0.007449778219246117,0.0010211125812575506,0.0008912361775870606,0.0015879828326180257,0.0006219219067789488,0.001215591561235425,0.0014724300172629726,0.005464914928431855,0.008955056021818284,0.021298388311492694,0.0031398721522908394,0.0014993213598055617,0.0020588337927905922,0.01111274359214094,0.002140488814896683,0.0020096399918358375,0.02516677199634857,0.002243681792073521,0.07817162296570712,0.002271055241019736
 g__Dietzia,0.0001198814885855697,7.190933670827821e-05,0.00011553061561313748,0.00018597997138769672,6.723480073285933e-05,0.00027190863869739766,0.00038926310801205025,0.00020652294787678523,0.00015463989990581025,6.0250037656273533e-05,2.816028836135282e-05,0.00011047631072251508,6.979097602679974e-05,0.0003339165742830811,5.596049189272374e-05,4.710093730865244e-05,9.83077031107366e-05,3.5898908673176336e-05,0.00011531863981664336,6.397338707097848e-05
 g__Dorea,0.003116918703224812,0.01838002646263591,0.019491665291302196,0.007882689556509299,0.013631855848587228,0.005438172773947953,0.0124902684222997,0.004082799815717985,0.005103116696891738,0.011673444795902998,0.006561347188195207,0.01365171553928222,0.010172034755906062,0.007720151197424836,0.0110801773947593,0.007708853406182783,0.004929429113124079,0.00558228029867892,0.008014645467256713,0.013770271567028116
 g__Eggerthella,8.562963470397836e-05,0.00017258240809986768,0.00023106123122627496,0.0005579399141630901,0.00018489570201536316,0.00047983877417187825,0.0007785262160241005,0.000142977425453159,9.840720903097015e-05,0.00013556258472661545,0.00022528230689082256,0.00037877592247719454,0.0003664026241406986,0.0017363661862720217,0.0005596049189272374,7.850156218108741e-05,0.00014043957587248087,0.0001615450890292935,5.765931990832168e-05,0.00046380705626459395
 g__Enterococcus,0.00025688890411193504,0.00030201921417476847,0.0006601749463607857,0.0006580829756795422,0.0004370262047635856,0.05300618992018682,0.0007446772501100091,0.0005242505599949164,0.00036551249068646056,0.00031631269769543606,0.0001408014418067641,1.5782330103216438e-05,1.7447744006699935e-05,2.671332594264649e-05,0.0,0.0022451446783790996,0.00016852749104697703,5.3848363009764504e-05,0.0,3.198669353548924e-05
 g__Epulopiscium,8.562963470397836e-05,0.00014381867341655642,0.0001980524839082357,7.15307582260372e-05,1.6808700183214833e-05,0.0,3.3848965914091324e-05,7.943190302953278e-05,2.8116345437420045e-05,0.0,0.00019712201852946975,0.0001578233010321644,0.0002093729280803992,8.013997782793947e-05,1.3990122973180934e-05,1.570031243621748e-05,2.8087915174496174e-05,0.0001615450890292935,7.20741498854021e-05,0.0
 g__Escherichia,0.01099484509599082,0.003983777253638613,0.00684931506849315,0.023075822603719598,0.008639671894172423,0.10908334799507366,0.047456250211556035,0.008403895340524568,0.16796704764314735,0.012034945021840639,0.007997521894624202,0.0019570089327988383,0.003262728129252888,0.02637940936836341,0.002574182627065292,0.008556670277738527,0.025798750087774734,0.005115594485927628,0.011070589422397763,0.06397338707097848
 g__Faecalibacterium,0.10583822849411724,0.15755335672783755,0.08412279254002311,0.34474964234620886,0.2190677894878389,0.10972313302730283,0.08254070338151169,0.3754110600981778,0.2640687163482491,0.08222623889139931,0.09330911548534257,0.02968656292415012,0.13935513138151237,0.10160413522285593,0.08939688579862617,0.2445637668189597,0.044055894951197244,0.17725086157380815,0.15419543626482926,0.18555480919937306
 g__Fibrobacter,0.0,0.0,0.0,0.0,3.3617400366429666e-05,0.0,0.0,0.0,2.8116345437420045e-05,0.0,0.0,0.0,0.0,0.0,1.3990122973180934e-05,0.0,0.0,0.0,5.765931990832168e-05,0.0
 g__Finegoldia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.816028836135282e-05,0.0,0.0,2.671332594264649e-05,0.0,0.0,0.0,0.0,0.0,1.599334676774462e-05
 g__Fusobacterium,0.0,4.314560202496692e-05,0.0,2.8612303290414877e-05,0.0,0.0,3.3848965914091324e-05,1.5886380605906556e-05,0.0,0.0,1.408014418067641e-05,4.734699030964932e-05,0.0,0.00040069988913969733,1.3990122973180934e-05,1.570031243621748e-05,1.4043957587248087e-05,0.0,1.441482997708042e-05,1.599334676774462e-05
 g__Granulicatella,3.4251853881591344e-05,0.00010067307139158949,0.0005611487044066678,0.00010014306151645207,8.404350091607416e-05,0.00030389789030885623,0.0009816200115086483,7.943190302953278e-05,0.0003373961452490405,4.518752824220515e-05,0.0001267212976260877,9.469398061929864e-05,3.489548801339987e-05,0.00042741321508234383,5.596049189272374e-05,1.570031243621748e-05,0.00012639561828523278,0.0,0.0001297334697937238,9.59600806064677e-05
 g__Haemophilus,0.002089363086777072,0.0004889834896162918,0.003581449084007262,0.0017310443490701002,0.010387776713226765,0.0003838710193375026,0.0007954506989811461,0.0006513416048421688,0.00035145431796775056,0.0003313752071095044,0.00022528230689082256,4.734699030964932e-05,0.001081760128415396,0.0012822396452470315,0.00025182221351725684,9.420187461730488e-05,0.00025279123657046557,7.179781734635267e-05,0.00020180761967912588,0.00012794677414195696
 g__Halomonas,0.0004966518812830745,0.0002588736121498015,0.0003630962204984321,0.00038626609442060086,0.00023532180256500765,0.0008477151677036516,0.0015739769150052466,0.0003653867539358508,0.0003936288361238806,0.00040668775417984637,5.632057672270564e-05,0.00037877592247719454,0.0002093729280803992,0.0007212598004514553,0.00018187159865135216,0.00020410406167082725,0.0004353626852046907,0.000323090178058587,0.00017297795972496505,0.00022390685474842466
